binary,OS,OS_sig,SNR,abs_SNR,h_0,residual_amplitude_us,frequency_nHz,chirp_mass_Msun,distance_Mpc,ra_deg,dec_deg,mean_rho,std_rho,pos_corr,neg_corr,min_psr_separation_deg,mean_psr_separation_deg,success,index,pre_rank,final_rank
"{'Mc': np.float64(3.0828425240372123e+40), 'f': np.float64(1.568031730265906e-09), 'D': np.float64(1004.2370066967418), 'ra': np.float64(2.786242988437341), 'dec': np.float64(-0.4341940699210836), 'psi': np.float64(0.10750418735109935), 'iota': np.float64(0.8902738037151869), 'phi0': np.float64(2.5676958725838004)}",5.157076992847541e-31,2.030042991333587e-30,0.25403782160592203,0.25403782160592203,7.700022685786413e-15,0.7815509397598865,1.568031730265906,15503590821.270687,1004.2370066967418,159.63996393537747,-24.877487696086256,8.876146046794947e-32,3.7425172011926645e-30,1105,1106,17.792200170318896,115.57000238778969,True,1872,1,1
"{'Mc': np.float64(6.405899223982697e+40), 'f': np.float64(1.4368028080258834e-09), 'D': np.float64(4535.6444532008645), 'ra': np.float64(2.874668213301321), 'dec': np.float64(-0.1352806667295509), 'psi': np.float64(1.392276064701624), 'iota': np.float64(1.0326243029713251), 'phi0': np.float64(5.572223248118702)}",5.099192587412931e-31,2.030042991333587e-30,0.2511864334490346,0.2511864334490346,5.442085649722887e-15,0.6028209487374995,1.4368028080258834,32215216845.025055,4535.6444532008645,164.7063561225788,-7.75101125331912,8.171163986074964e-32,2.0115411182830977e-30,1138,1073,8.556020565735327,109.62744705591973,True,1827,5,2
"{'Mc': np.float64(4.96310732486003e+40), 'f': np.float64(2.4427546443253796e-09), 'D': np.float64(6007.01142274493), 'ra': np.float64(2.797466462496453), 'dec': np.float64(0.8274892258092618), 'psi': np.float64(0.4786779916960077), 'iota': np.float64(2.480567595646865), 'phi0': np.float64(2.3600118992062846)}",3.2789600315755197e-31,2.030042991333587e-30,0.1615217040020166,0.1615217040020166,3.825518547024655e-15,0.24924737654806361,2.4427546443253796,24959427725.13556,6007.01142274493,160.28302163043915,47.41164023141865,-3.371930953197471e-33,5.849759170553398e-31,1124,1087,9.142571464515989,118.6731816249819,True,621,8,3
"{'Mc': np.float64(7.350563659215846e+40), 'f': np.float64(1.2485973575009739e-09), 'D': np.float64(5051.5259633504975), 'ra': np.float64(5.800458612461965), 'dec': np.float64(0.7825836395376848), 'psi': np.float64(1.6932221001765384), 'iota': np.float64(2.8990717880192522), 'phi0': np.float64(4.663093523702178)}",2.5085950805282464e-31,2.030042991333587e-30,0.1235734953021998,0.1235734953021998,5.5962810465069224e-15,0.71334108320213,1.248597357500974,36965926864.4528,5051.5259633504975,332.3417977343801,44.83873966149668,3.522128716920351e-34,1.0846822744217337e-30,1109,1102,13.354594432520324,119.71315998866447,True,826,4,4
"{'Mc': np.float64(5.636545993709466e+40), 'f': np.float64(1.5439227318602046e-09), 'D': np.float64(4842.006816486952), 'ra': np.float64(3.897038040940559), 'dec': np.float64(1.3501325151311907), 'psi': np.float64(1.6442680818852187), 'iota': np.float64(1.551536763315355), 'phi0': np.float64(4.722918822961533)}",9.480995283855051e-32,2.030042991333587e-30,0.0467034211803896,0.0467034211803896,4.321018872721984e-15,0.44543130209533205,1.5439227318602047,28346145497.339493,4842.006816486952,223.28383234782456,77.35689490039998,3.4488666774993117e-32,1.125145632491589e-30,1138,1073,46.64912537750458,114.84078681191446,True,1615,7,5
"{'Mc': np.float64(6.107574381310206e+40), 'f': np.float64(1.3155612283707599e-09), 'D': np.float64(10410.906225128056), 'ra': np.float64(0.7982944862217917), 'dec': np.float64(0.5629564152169287), 'psi': np.float64(2.8948729627362093), 'iota': np.float64(3.1167311739264423), 'phi0': np.float64(5.7101738145306244)}",8.842251513496136e-32,2.030042991333587e-30,0.04355696677974014,0.04355696677974014,2.0647756840546973e-15,0.2497939658044111,1.3155612283707598,30714943556.15225,10410.906225128056,45.73890486907311,32.25502664174437,1.9084834479535463e-33,3.4524725266699204e-31,1098,1113,13.163467792301208,191.06769103789864,True,466,21,6
"{'Mc': np.float64(4.1927021334744665e+40), 'f': np.float64(1.1203811671749723e-09), 'D': np.float64(3492.2257724207197), 'ra': np.float64(0.6245230291151022), 'dec': np.float64(0.3665914681698203), 'psi': np.float64(0.4385996266174898), 'iota': np.float64(1.6814849181730316), 'phi0': np.float64(3.8942579921579648)}",8.114374937978585e-32,2.030042991333587e-30,0.03997144381975894,0.03997144381975894,2.9544115743729892e-15,0.41968681709903866,1.1203811671749724,21085066073.28482,3492.2257724207197,35.782533777021186,21.00414393163516,-1.4199618860633893e-33,6.516351013380321e-31,1115,1096,27.597921882922744,198.809144934383,True,1508,13,7
"{'Mc': np.float64(4.669773172351938e+40), 'f': np.float64(1.9138310382376254e-09), 'D': np.float64(7699.110138400397), 'ra': np.float64(2.1688166802984616), 'dec': np.float64(-0.1896509102819956), 'psi': np.float64(1.610375038942377), 'iota': np.float64(3.0198996893354595), 'phi0': np.float64(5.635196367213629)}",5.423290658496071e-32,2.030042991333587e-30,0.0267151517561378,0.0267151517561378,2.2917167189349237e-15,0.19058006516641426,1.9138310382376253,23484252577.871117,7699.110138400397,124.2640423186758,-10.866196739972578,1.3664478534638957e-32,3.489145221535664e-31,1127,1084,20.288759996870212,131.91009659307153,True,794,20,8
"{'Mc': np.float64(5.315535512997314e+40), 'f': np.float64(1.807450793483555e-09), 'D': np.float64(14138.824691786684), 'ra': np.float64(2.6986380088568884), 'dec': np.float64(-0.14767667729994943), 'psi': np.float64(2.1665665852293934), 'iota': np.float64(2.1044898378104495), 'phi0': np.float64(3.6837191011730965)}",5.020722487965503e-32,2.030042991333587e-30,0.024732099317104916,0.024732099317104916,1.4906721770383093e-15,0.13126102594912079,1.8074507934835549,26731786313.081486,14138.824691786684,154.6205683410878,-8.461250341802511,5.483167986766145e-33,1.4687632613418608e-31,1143,1068,1.9159319200638998,114.51517245532538,True,1629,29,9
"{'Mc': np.float64(5.844112910292261e+40), 'f': np.float64(1.373976126875461e-09), 'D': np.float64(12223.643621423596), 'ra': np.float64(0.14048693845679375), 'dec': np.float64(0.44043732589295387), 'psi': np.float64(2.4947561093185042), 'iota': np.float64(2.3575280323185974), 'phi0': np.float64(4.193967328621965)}",4.0227502885979173e-32,2.030042991333587e-30,0.0198160842197498,0.0198160842197498,1.681986613596416e-15,0.194833431623759,1.3739761268754611,29389997889.29308,12223.643621423596,8.04930865028842,25.23519991369427,3.24853184789017e-33,1.5615587092105097e-31,1091,1120,16.001251343144695,224.8649710387537,True,27,26,10
"{'Mc': np.float64(4.1320735242857846e+40), 'f': np.float64(1.2165197313029187e-09), 'D': np.float64(8789.23839731429), 'ra': np.float64(2.197076207914917), 'dec': np.float64(0.2526106134266385), 'psi': np.float64(1.5755916163034323), 'iota': np.float64(0.404820915951159), 'phi0': np.float64(3.260636599661276)}",3.488402878792557e-32,2.030042991333587e-30,0.01718388671414755,0.01718388671414755,1.21035942079756e-15,0.15834900148430736,1.2165197313029188,20780165274.234886,8789.23839731429,125.8831939821321,14.473522009557152,9.253096482704662e-34,1.2570125735550705e-31,1136,1075,20.880768676877576,129.652425781835,True,1222,42,11
"{'Mc': np.float64(6.944575958610037e+40), 'f': np.float64(1.5903569883486072e-09), 'D': np.float64(12740.678931301054), 'ra': np.float64(0.3200758969328176), 'dec': np.float64(1.2072289819594995), 'psi': np.float64(1.1243097496180616), 'iota': np.float64(1.24548545299121), 'phi0': np.float64(4.155083122121119)}",2.6529693190050216e-32,2.030042991333587e-30,0.01306853761388678,0.01306853761388678,2.37166215630632e-15,0.2373440418003774,1.5903569883486073,34924217909.29729,12740.678931301054,18.338998018114783,69.16912557215431,1.7834527145722186e-34,1.1077719143716762e-31,1105,1106,46.00040063146466,225.1116589383801,True,267,18,12
