config,run_dir,sim_id,scenario,sgwb_snr,Tspan_years,n_active_sub_chunks,n_total_sub_chunks,source_path,baseline_snr,forecast_snr,delta_vs_baseline,delta_vs_forecast,ratio_vs_baseline,ratio_vs_forecast
optimistic,2026-07-16_optimistic,0,baseline,3.122911143412765,4.463838478548984,10,50,runs/2026-07-16_optimistic/sim000/metadata/sgwb_snr_summary.json,3.122911143412765,9.136682695150359,0.0,-6.0137715517375945,1.0,0.3417992336617281
optimistic,2026-07-16_optimistic,0,baseline_forecast,9.136682695150359,8.922335608091545,10,50,runs/2026-07-16_optimistic/sim000/metadata/sgwb_snr_summary.json,3.122911143412765,9.136682695150359,6.0137715517375945,0.0,2.925694096171322,1.0
optimistic,2026-07-16_optimistic,0,4x_cadence,8.683686699338173,8.922871633388139,10,50,runs/2026-07-16_optimistic/sim000/metadata/sgwb_snr_summary.json,3.122911143412765,9.136682695150359,5.560775555925408,-0.4529959958121861,2.78063841734815,0.9504200801399582
optimistic,2026-07-16_optimistic,0,2x_precision,8.55304108837542,8.922335608091545,10,50,runs/2026-07-16_optimistic/sim000/metadata/sgwb_snr_summary.json,3.122911143412765,9.136682695150359,5.430129944962655,-0.5836416067749397,2.7388038581938408,0.9361210598804389
optimistic,2026-07-16_optimistic,0,4x_cad_2x_prec,9.047506787073855,8.922871633388139,10,50,runs/2026-07-16_optimistic/sim000/metadata/sgwb_snr_summary.json,3.122911143412765,9.136682695150359,5.924595643661091,-0.08917590807650377,2.897138718198239,0.9902397936918793
optimistic,2026-07-16_optimistic,0,4x_cadence_conserved,9.368021463510308,8.923475995702061,10,50,runs/2026-07-16_optimistic/sim000/metadata/sgwb_snr_summary.json,3.122911143412765,9.136682695150359,6.2451103200975435,0.23133876835994904,2.999772018256271,1.0253197769998887
optimistic,2026-07-16_optimistic,0,2x_precision_conserved,8.925666528118631,8.921659898092946,10,50,runs/2026-07-16_optimistic/sim000/metadata/sgwb_snr_summary.json,3.122911143412765,9.136682695150359,5.802755384705867,-0.21101616703172787,2.8581237564013833,0.9769045096483724
optimistic,2026-07-16_optimistic,0,4x_cad_2x_prec_conserved,6.006180641895478,8.922871633388139,10,50,runs/2026-07-16_optimistic/sim000/metadata/sgwb_snr_summary.json,3.122911143412765,9.136682695150359,2.8832694984827127,-3.1305020532548813,1.9232633802484151,0.6573699494985731
optimistic,2026-07-16_optimistic,0,max_cadence_top10,8.727319107969437,8.922937495024202,10,50,runs/2026-07-16_optimistic/sim000/metadata/sgwb_snr_summary.json,3.122911143412765,9.136682695150359,5.604407964556673,-0.4093635871809216,2.7946101272776174,0.955195599886794
optimistic,2026-07-16_optimistic,0,max_cadence_top20,9.071686535244474,8.92283003641009,10,50,runs/2026-07-16_optimistic/sim000/metadata/sgwb_snr_summary.json,3.122911143412765,9.136682695150359,5.94877539183171,-0.06499615990588481,2.9048814130941927,0.9928862408737928
optimistic,2026-07-16_optimistic,0,max_cadence_top30,10.162500918108481,8.921876974976458,10,50,runs/2026-07-16_optimistic/sim000/metadata/sgwb_snr_summary.json,3.122911143412765,9.136682695150359,7.039589774695717,1.0258182229581223,3.2541754956891746,1.112274690627334
optimistic,2026-07-16_optimistic,0,max_cadence_top40,9.647885249036326,8.923494552614637,10,50,runs/2026-07-16_optimistic/sim000/metadata/sgwb_snr_summary.json,3.122911143412765,9.136682695150359,6.524974105623562,0.5112025538859672,3.089388332225479,1.055950564438153
optimistic,2026-07-16_optimistic,1,baseline,3.030084606674928,4.463838478548984,5,50,runs/2026-07-16_optimistic/sim001/metadata/sgwb_snr_summary.json,3.030084606674928,12.31829733879542,0.0,-9.288212732120492,1.0,0.24598242137993673
optimistic,2026-07-16_optimistic,1,baseline_forecast,12.31829733879542,8.922335608091545,5,50,runs/2026-07-16_optimistic/sim001/metadata/sgwb_snr_summary.json,3.030084606674928,12.31829733879542,9.288212732120492,0.0,4.065331150047634,1.0
optimistic,2026-07-16_optimistic,1,4x_cadence,12.3470855256388,8.922871633388139,5,50,runs/2026-07-16_optimistic/sim001/metadata/sgwb_snr_summary.json,3.030084606674928,12.31829733879542,9.317000918963872,0.02878818684338036,4.074831936520713,1.0023370264616616
optimistic,2026-07-16_optimistic,1,2x_precision,12.202176127750015,8.922335608091545,5,50,runs/2026-07-16_optimistic/sim001/metadata/sgwb_snr_summary.json,3.030084606674928,12.31829733879542,9.172091521075087,-0.11612121104540485,4.027008388105739,0.9905732742235657
optimistic,2026-07-16_optimistic,1,4x_cad_2x_prec,12.207825875968322,8.922871633388139,5,50,runs/2026-07-16_optimistic/sim001/metadata/sgwb_snr_summary.json,3.030084606674928,12.31829733879542,9.177741269293394,-0.11047146282709797,4.028872939414261,0.991031921069223
optimistic,2026-07-16_optimistic,1,4x_cadence_conserved,12.868201841179967,8.923475995702061,5,50,runs/2026-07-16_optimistic/sim001/metadata/sgwb_snr_summary.json,3.030084606674928,12.31829733879542,9.83811723450504,0.5499045023845479,4.24681271698909,1.0446412752720842
optimistic,2026-07-16_optimistic,1,2x_precision_conserved,12.879043905247114,8.921659898092946,5,50,runs/2026-07-16_optimistic/sim001/metadata/sgwb_snr_summary.json,3.030084606674928,12.31829733879542,9.848959298572186,0.5607465664516944,4.250390856042785,1.0455214345805464
optimistic,2026-07-16_optimistic,1,4x_cad_2x_prec_conserved,9.007677176074822,8.922871633388139,5,50,runs/2026-07-16_optimistic/sim001/metadata/sgwb_snr_summary.json,3.030084606674928,12.31829733879542,5.977592569399894,-3.310620162720598,2.972747743159364,0.7312436880140826
optimistic,2026-07-16_optimistic,1,max_cadence_top10,11.58553293657162,8.922937495024202,5,50,runs/2026-07-16_optimistic/sim001/metadata/sgwb_snr_summary.json,3.030084606674928,12.31829733879542,8.555448329896693,-0.7327644022237987,3.8235014662792,0.9405141488250961
optimistic,2026-07-16_optimistic,1,max_cadence_top20,12.110701801235937,8.92283003641009,5,50,runs/2026-07-16_optimistic/sim001/metadata/sgwb_snr_summary.json,3.030084606674928,12.31829733879542,9.08061719456101,-0.20759553755948268,3.9968196843604478,0.9831473837779773
optimistic,2026-07-16_optimistic,1,max_cadence_top30,12.049183349853886,8.921876974976458,5,50,runs/2026-07-16_optimistic/sim001/metadata/sgwb_snr_summary.json,3.030084606674928,12.31829733879542,9.019098743178958,-0.26911398894153393,3.9765171320005126,0.9781533127882875
optimistic,2026-07-16_optimistic,1,max_cadence_top40,13.063025704650547,8.923494552614637,5,50,runs/2026-07-16_optimistic/sim001/metadata/sgwb_snr_summary.json,3.030084606674928,12.31829733879542,10.03294109797562,0.7447283658551278,4.311109226413746,1.060457086346639
optimistic,2026-07-16_optimistic,2,baseline,3.2243179282009495,4.463838478548984,10,50,runs/2026-07-16_optimistic/sim002/metadata/sgwb_snr_summary.json,3.2243179282009495,7.106636826334781,0.0,-3.8823188981338315,1.0,0.45370517827120743
optimistic,2026-07-16_optimistic,2,baseline_forecast,7.106636826334781,8.922335608091545,10,50,runs/2026-07-16_optimistic/sim002/metadata/sgwb_snr_summary.json,3.2243179282009495,7.106636826334781,3.8823188981338315,0.0,2.20407446926303,1.0
optimistic,2026-07-16_optimistic,2,4x_cadence,7.051659976884084,8.922871633388139,10,50,runs/2026-07-16_optimistic/sim002/metadata/sgwb_snr_summary.json,3.2243179282009495,7.106636826334781,3.827342048683134,-0.05497684945069725,2.1870237780238533,0.9922640130916819
optimistic,2026-07-16_optimistic,2,2x_precision,6.656977217102308,8.922335608091545,10,50,runs/2026-07-16_optimistic/sim002/metadata/sgwb_snr_summary.json,3.2243179282009495,7.106636826334781,3.4326592889013585,-0.44965960923247295,2.0646156382031022,0.9367268061924612
optimistic,2026-07-16_optimistic,2,4x_cad_2x_prec,7.022087021451076,8.922871633388139,10,50,runs/2026-07-16_optimistic/sim002/metadata/sgwb_snr_summary.json,3.2243179282009495,7.106636826334781,3.797769093250127,-0.08454980488370456,2.177851929561159,0.9881026979498387
optimistic,2026-07-16_optimistic,2,4x_cadence_conserved,6.990054773521209,8.923475995702061,10,50,runs/2026-07-16_optimistic/sim002/metadata/sgwb_snr_summary.json,3.2243179282009495,7.106636826334781,3.765736845320259,-0.11658205281357237,2.1679173484673706,0.9835953270636317
optimistic,2026-07-16_optimistic,2,2x_precision_conserved,7.218988730058642,8.921659898092946,10,50,runs/2026-07-16_optimistic/sim002/metadata/sgwb_snr_summary.json,3.2243179282009495,7.106636826334781,3.994670801857693,0.11235190372386139,2.2389196384509673,1.0158094336983035
optimistic,2026-07-16_optimistic,2,4x_cad_2x_prec_conserved,3.5714526885556364,8.922871633388139,10,50,runs/2026-07-16_optimistic/sim002/metadata/sgwb_snr_summary.json,3.2243179282009495,7.106636826334781,0.3471347603546868,-3.5351841377791446,1.1076614552549335,0.5025517380205847
optimistic,2026-07-16_optimistic,2,max_cadence_top10,6.246565392988871,8.922937495024202,10,50,runs/2026-07-16_optimistic/sim002/metadata/sgwb_snr_summary.json,3.2243179282009495,7.106636826334781,3.0222474647879216,-0.8600714333459099,1.9373292374037767,0.8789763070263029
optimistic,2026-07-16_optimistic,2,max_cadence_top20,6.899670228509576,8.92283003641009,10,50,runs/2026-07-16_optimistic/sim002/metadata/sgwb_snr_summary.json,3.2243179282009495,7.106636826334781,3.6753523003086266,-0.20696659782520488,2.1398852042978707,0.9708769980958846
optimistic,2026-07-16_optimistic,2,max_cadence_top30,7.464248253249212,8.921876974976458,10,50,runs/2026-07-16_optimistic/sim002/metadata/sgwb_snr_summary.json,3.2243179282009495,7.106636826334781,4.239930325048263,0.35761142691443126,2.3149851905001153,1.0503207685510598
optimistic,2026-07-16_optimistic,2,max_cadence_top40,8.113399394099801,8.923494552614637,10,50,runs/2026-07-16_optimistic/sim002/metadata/sgwb_snr_summary.json,3.2243179282009495,7.106636826334781,4.889081465898851,1.00676256776502,2.5163149462208207,1.1416651212616213
optimistic,2026-07-16_optimistic,3,baseline,3.2797716780696082,4.463838478548984,6,50,runs/2026-07-16_optimistic/sim003/metadata/sgwb_snr_summary.json,3.2797716780696082,7.946010270279586,0.0,-4.666238592209977,1.0,0.4127570398866609
optimistic,2026-07-16_optimistic,3,baseline_forecast,7.946010270279586,8.922335608091545,6,50,runs/2026-07-16_optimistic/sim003/metadata/sgwb_snr_summary.json,3.2797716780696082,7.946010270279586,4.666238592209977,0.0,2.4227327540545165,1.0
optimistic,2026-07-16_optimistic,3,4x_cadence,7.935651534695848,8.922871633388139,6,50,runs/2026-07-16_optimistic/sim003/metadata/sgwb_snr_summary.json,3.2797716780696082,7.946010270279586,4.655879856626239,-0.01035873558373801,2.4195743831066236,0.9986963601566836
optimistic,2026-07-16_optimistic,3,2x_precision,7.7668135137483905,8.922335608091545,6,50,runs/2026-07-16_optimistic/sim003/metadata/sgwb_snr_summary.json,3.2797716780696082,7.946010270279586,4.487041835678783,-0.17919675653119516,2.3680957932778246,0.9774482098014089
optimistic,2026-07-16_optimistic,3,4x_cad_2x_prec,7.8563296317579105,8.922871633388139,6,50,runs/2026-07-16_optimistic/sim003/metadata/sgwb_snr_summary.json,3.2797716780696082,7.946010270279586,4.576557953688303,-0.08968063852167507,2.395389192573902,0.9887137525033025
optimistic,2026-07-16_optimistic,3,4x_cadence_conserved,8.41601895650029,8.923475995702061,6,50,runs/2026-07-16_optimistic/sim003/metadata/sgwb_snr_summary.json,3.2797716780696082,7.946010270279586,5.136247278430682,0.47000868622070424,2.5660380607511524,1.0591502741921535
optimistic,2026-07-16_optimistic,3,2x_precision_conserved,7.985065076021866,8.921659898092946,6,50,runs/2026-07-16_optimistic/sim003/metadata/sgwb_snr_summary.json,3.2797716780696082,7.946010270279586,4.705293397952257,0.03905480574228015,2.4346405359295242,1.0049150207983442
optimistic,2026-07-16_optimistic,3,4x_cad_2x_prec_conserved,3.9251162572569545,8.922871633388139,6,50,runs/2026-07-16_optimistic/sim003/metadata/sgwb_snr_summary.json,3.2797716780696082,7.946010270279586,0.6453445791873462,-4.020894013022631,1.196765092979637,0.49397321721795945
optimistic,2026-07-16_optimistic,3,max_cadence_top10,7.064261462149727,8.922937495024202,6,50,runs/2026-07-16_optimistic/sim003/metadata/sgwb_snr_summary.json,3.2797716780696082,7.946010270279586,3.7844897840801184,-0.881748808129859,2.1538881835541597,0.8890325108906719
optimistic,2026-07-16_optimistic,3,max_cadence_top20,8.299904886094138,8.92283003641009,6,50,runs/2026-07-16_optimistic/sim003/metadata/sgwb_snr_summary.json,3.2797716780696082,7.946010270279586,5.0201332080245304,0.3538946158145526,2.5306349651080757,1.0445373972316927
optimistic,2026-07-16_optimistic,3,max_cadence_top30,8.678087649505306,8.921876974976458,6,50,runs/2026-07-16_optimistic/sim003/metadata/sgwb_snr_summary.json,3.2797716780696082,7.946010270279586,5.398315971435698,0.7320773792257205,2.6459426147045124,1.0921314413554064
optimistic,2026-07-16_optimistic,3,max_cadence_top40,9.332986326736131,8.923494552614637,6,50,runs/2026-07-16_optimistic/sim003/metadata/sgwb_snr_summary.json,3.2797716780696082,7.946010270279586,6.053214648666524,1.3869760564565459,2.8456207452310505,1.1745499954416425
optimistic,2026-07-16_optimistic,4,baseline,3.097348773908659,4.463838478548984,5,50,runs/2026-07-16_optimistic/sim004/metadata/sgwb_snr_summary.json,3.097348773908659,7.202743331830502,0.0,-4.1053945579218425,1.0,0.43002348288891484
optimistic,2026-07-16_optimistic,4,baseline_forecast,7.202743331830502,8.922335608091545,5,50,runs/2026-07-16_optimistic/sim004/metadata/sgwb_snr_summary.json,3.097348773908659,7.202743331830502,4.1053945579218425,0.0,2.325454399099231,1.0
optimistic,2026-07-16_optimistic,4,4x_cadence,6.950251821899304,8.922871633388139,5,50,runs/2026-07-16_optimistic/sim004/metadata/sgwb_snr_summary.json,3.097348773908659,7.202743331830502,3.8529030479906448,-0.25249150993119773,2.243935807438477,0.9649450912938432
optimistic,2026-07-16_optimistic,4,2x_precision,7.248223595774264,8.922335608091545,5,50,runs/2026-07-16_optimistic/sim004/metadata/sgwb_snr_summary.json,3.097348773908659,7.202743331830502,4.150874821865605,0.04548026394376237,2.3401380099107993,1.0063142974625758
optimistic,2026-07-16_optimistic,4,4x_cad_2x_prec,6.960276081831907,8.922871633388139,5,50,runs/2026-07-16_optimistic/sim004/metadata/sgwb_snr_summary.json,3.097348773908659,7.202743331830502,3.862927307923248,-0.2424672499985947,2.2471722075549394,0.9663368193439466
optimistic,2026-07-16_optimistic,4,4x_cadence_conserved,6.9954942394261685,8.923475995702061,5,50,runs/2026-07-16_optimistic/sim004/metadata/sgwb_snr_summary.json,3.097348773908659,7.202743331830502,3.8981454655175094,-0.2072490924043331,2.2585426279257197,0.9712263671137005
optimistic,2026-07-16_optimistic,4,2x_precision_conserved,6.67405156250809,8.921659898092946,5,50,runs/2026-07-16_optimistic/sim004/metadata/sgwb_snr_summary.json,3.097348773908659,7.202743331830502,3.576702788599431,-0.5286917693224114,2.1547626856648296,0.9265985548886622
optimistic,2026-07-16_optimistic,4,4x_cad_2x_prec_conserved,4.445897357251343,8.922871633388139,5,50,runs/2026-07-16_optimistic/sim004/metadata/sgwb_snr_summary.json,3.097348773908659,7.202743331830502,1.3485485833426836,-2.756845974579159,1.4353880307902491,0.6172505602974838
optimistic,2026-07-16_optimistic,4,max_cadence_top10,6.467014672728506,8.922937495024202,5,50,runs/2026-07-16_optimistic/sim004/metadata/sgwb_snr_summary.json,3.097348773908659,7.202743331830502,3.3696658988198465,-0.735728659101996,2.087919425543911,0.8978543833638151
optimistic,2026-07-16_optimistic,4,max_cadence_top20,6.896937390604992,8.92283003641009,5,50,runs/2026-07-16_optimistic/sim004/metadata/sgwb_snr_summary.json,3.097348773908659,7.202743331830502,3.799588616696333,-0.3058059412255094,2.2267228827128474,0.9575431294526231
optimistic,2026-07-16_optimistic,4,max_cadence_top30,6.392461654146337,8.921876974976458,5,50,runs/2026-07-16_optimistic/sim004/metadata/sgwb_snr_summary.json,3.097348773908659,7.202743331830502,3.295112880237678,-0.8102816776841646,2.0638494792691535,0.8875037412337946
optimistic,2026-07-16_optimistic,4,max_cadence_top40,5.605468635225073,8.923494552614637,5,50,runs/2026-07-16_optimistic/sim004/metadata/sgwb_snr_summary.json,3.097348773908659,7.202743331830502,2.5081198613164135,-1.597274696605429,1.8097634604291992,0.7782407864588591
optimistic,2026-07-16_optimistic,5,baseline,3.042195297903814,4.463838478548984,6,50,runs/2026-07-16_optimistic/sim005/metadata/sgwb_snr_summary.json,3.042195297903814,6.693932966624386,0.0,-3.651737668720572,1.0,0.4544705351953847
optimistic,2026-07-16_optimistic,5,baseline_forecast,6.693932966624386,8.922335608091545,6,50,runs/2026-07-16_optimistic/sim005/metadata/sgwb_snr_summary.json,3.042195297903814,6.693932966624386,3.651737668720572,0.0,2.2003626694304455,1.0
optimistic,2026-07-16_optimistic,5,4x_cadence,6.792645084557819,8.922871633388139,6,50,runs/2026-07-16_optimistic/sim005/metadata/sgwb_snr_summary.json,3.042195297903814,6.693932966624386,3.7504497866540047,0.09871211793343271,2.2328103291850474,1.0147465052945117
optimistic,2026-07-16_optimistic,5,2x_precision,6.8328589251212755,8.922335608091545,6,50,runs/2026-07-16_optimistic/sim005/metadata/sgwb_snr_summary.json,3.042195297903814,6.693932966624386,3.7906636272174614,0.13892595849688938,2.246029020500219,1.0207540110111002
optimistic,2026-07-16_optimistic,5,4x_cad_2x_prec,6.870073459913219,8.922871633388139,6,50,runs/2026-07-16_optimistic/sim005/metadata/sgwb_snr_summary.json,3.042195297903814,6.693932966624386,3.827878162009405,0.17614049328883308,2.2582618100313794,1.0263134534162592
optimistic,2026-07-16_optimistic,5,4x_cadence_conserved,6.429695488188002,8.923475995702061,6,50,runs/2026-07-16_optimistic/sim005/metadata/sgwb_snr_summary.json,3.042195297903814,6.693932966624386,3.3875001902841877,-0.26423747843638434,2.113505169315823,0.9605258254371744
optimistic,2026-07-16_optimistic,5,2x_precision_conserved,6.897004259227984,8.921659898092946,6,50,runs/2026-07-16_optimistic/sim005/metadata/sgwb_snr_summary.json,3.042195297903814,6.693932966624386,3.85480896132417,0.2030712926035978,2.2671142329291865,1.0303366187884015
optimistic,2026-07-16_optimistic,5,4x_cad_2x_prec_conserved,4.327949639014298,8.922871633388139,6,50,runs/2026-07-16_optimistic/sim005/metadata/sgwb_snr_summary.json,3.042195297903814,6.693932966624386,1.2857543411104837,-2.3659833276100883,1.4226403025461305,0.646548099688664
optimistic,2026-07-16_optimistic,5,max_cadence_top10,5.49833051922086,8.922937495024202,6,50,runs/2026-07-16_optimistic/sim005/metadata/sgwb_snr_summary.json,3.042195297903814,6.693932966624386,2.456135221317046,-1.1956024474035258,1.807356195379506,0.8213901374028184
optimistic,2026-07-16_optimistic,5,max_cadence_top20,5.662211050935434,8.92283003641009,6,50,runs/2026-07-16_optimistic/sim005/metadata/sgwb_snr_summary.json,3.042195297903814,6.693932966624386,2.6200157530316197,-1.0317219156889523,1.8612253640773517,0.8458720873314588
optimistic,2026-07-16_optimistic,5,max_cadence_top30,6.236900205680827,8.921876974976458,6,50,runs/2026-07-16_optimistic/sim005/metadata/sgwb_snr_summary.json,3.042195297903814,6.693932966624386,3.1947049077770133,-0.4570327609435587,2.050131433040569,0.9317243295948284
optimistic,2026-07-16_optimistic,5,max_cadence_top40,7.473595838002089,8.923494552614637,6,50,runs/2026-07-16_optimistic/sim005/metadata/sgwb_snr_summary.json,3.042195297903814,6.693932966624386,4.4314005400982746,0.7796628713777025,2.4566456476846423,1.1164730622886518
optimistic,2026-07-16_optimistic,6,baseline,3.2599442341852187,4.463838478548984,12,50,runs/2026-07-16_optimistic/sim006/metadata/sgwb_snr_summary.json,3.2599442341852187,10.53038260631881,0.0,-7.270438372133591,1.0,0.3095750986511233
optimistic,2026-07-16_optimistic,6,baseline_forecast,10.53038260631881,8.922335608091545,12,50,runs/2026-07-16_optimistic/sim006/metadata/sgwb_snr_summary.json,3.2599442341852187,10.53038260631881,7.270438372133591,0.0,3.2302339702294764,1.0
optimistic,2026-07-16_optimistic,6,4x_cadence,11.049911473186638,8.922871633388139,12,50,runs/2026-07-16_optimistic/sim006/metadata/sgwb_snr_summary.json,3.2599442341852187,10.53038260631881,7.789967239001419,0.5195288668678284,3.3896013794691253,1.0493361814371382
optimistic,2026-07-16_optimistic,6,2x_precision,11.081676718255032,8.922335608091545,12,50,runs/2026-07-16_optimistic/sim006/metadata/sgwb_snr_summary.json,3.2599442341852187,10.53038260631881,7.8217324840698135,0.5512941119362225,3.399345486357608,1.0523527142884073
