==============================================================
  SNR Outlier Report
  Generated  : Thursday 30 April 2026  15:07:48
  Log dir    : /fred/oz005/users/bhoulden/SMBHB_population_injections/logs/28-29_04_26_400_sims_logs
  Scanned    : 1224   Range: [3.5, 4.25]
==============================================================

  OUTSIDE RANGE  (165 file(s)):

  Filename                                          Mean SNR  Flag
  -----------------------------------------------------------------
  smbhb_pessimistic_11740361.out                      1.2512  [LOW]
  smbhb_pessimistic_11740442.out                      0.8353  [LOW]
  smbhb_pessimistic_11740666.out                      4.4336  [HIGH]
  smbhb_pessimistic_11740743.out                      4.4433  [HIGH]
  smbhb_pessimistic_11740767.out                      4.5017  [HIGH]
  smbhb_pessimistic_11740790.out                      4.6412  [HIGH]
  smbhb_pessimistic_11740848.out                      4.4871  [HIGH]
  smbhb_pessimistic_11740900.out                      4.7878  [HIGH]
  smbhb_pessimistic_11740905.out                      4.6242  [HIGH]
  smbhb_pessimistic_11740917.out                      4.5566  [HIGH]
  smbhb_pessimistic_11740945.out                      4.3866  [HIGH]
  smbhb_pessimistic_11741042.out                      4.6518  [HIGH]
  smbhb_pessimistic_11741126.out                      3.3309  [LOW]
  smbhb_pessimistic_11741216.out                      1.2214  [LOW]
  smbhb_realistic_11711222.out                        3.4880  [LOW]
  smbhb_realistic_11711225.out                        5.0144  [HIGH]
  smbhb_realistic_11717799.out                        4.3388  [HIGH]
  smbhb_realistic_11717817.out                        4.5340  [HIGH]
  smbhb_realistic_11717830.out                        4.4831  [HIGH]
  smbhb_realistic_11717837.out                        4.3737  [HIGH]
  smbhb_realistic_11717839.out                        3.4636  [LOW]
  smbhb_realistic_11717840.out                        2.6284  [LOW]
  smbhb_realistic_11717851.out                        1.5560  [LOW]
  smbhb_realistic_11717854.out                        4.5302  [HIGH]
  smbhb_realistic_11717872.out                        4.3005  [HIGH]
  smbhb_realistic_11717881.out                        4.6225  [HIGH]
  smbhb_realistic_11717924.out                        4.5091  [HIGH]
  smbhb_realistic_11717927.out                        4.4512  [HIGH]
  smbhb_realistic_11717936.out                        4.4345  [HIGH]
  smbhb_realistic_11717937.out                        4.8454  [HIGH]
  smbhb_realistic_11717947.out                        4.2983  [HIGH]
  smbhb_realistic_11717949.out                        4.5919  [HIGH]
  smbhb_realistic_11728640.out                        3.4117  [LOW]
  smbhb_realistic_11728665.out                        4.4800  [HIGH]
  smbhb_realistic_11728691.out                        4.4154  [HIGH]
  smbhb_realistic_11728701.out                        5.6468  [HIGH]
  smbhb_realistic_11728702.out                        4.9201  [HIGH]
  smbhb_realistic_11728709.out                        4.8473  [HIGH]
  smbhb_realistic_11728730.out                        4.3140  [HIGH]
  smbhb_realistic_11736899.out                        4.9599  [HIGH]
  smbhb_realistic_11736915.out                        4.4401  [HIGH]
  smbhb_realistic_11736922.out                        5.2804  [HIGH]
