sim_id,status,phase_reached,resumable,reason,log_file
60,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim060_try1_13234132.out
61,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim061_try1_13234134.out
62,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim062_try1_13234136.out
63,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim063_try1_13234138.out
64,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim064_try1_13234140.out
65,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim065_try1_13234142.out
66,incomplete_late,scenario 2/3,True,Baseline+CGW done; timed out in scenario phases (1/3 completed),runs/2026-06-16_realistic/logs/stage2_sim066_try1_13234144.out
67,incomplete_late,scenario 1/2,True,Baseline+CGW done; timed out in scenario phases (0/2 completed),runs/2026-06-16_realistic/logs/stage2_sim067_try1_13234146.out
68,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim068_try1_13234148.out
69,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim069_try1_13234150.out
70,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim070_try1_13234152.out
71,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim071_try1_13234154.out
72,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim072_try1_13234156.out
73,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim073_try1_13234158.out
74,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim074_try1_13234160.out
75,incomplete_late,scenario 1/2,True,Baseline+CGW done; timed out in scenario phases (0/2 completed),runs/2026-06-16_realistic/logs/stage2_sim075_try1_13234162.out
76,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_realistic/logs/stage2_sim076_try1_13234164.out
77,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_realistic/logs/stage2_sim077_try1_13234166.out
78,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim078_try1_13234168.out
79,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim079_try1_13234170.out
80,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim080_try1_13234172.out
81,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim081_try1_13234174.out
82,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim082_try1_13234176.out
83,incomplete_late,scenario 2/3,True,Baseline+CGW done; timed out in scenario phases (1/3 completed),runs/2026-06-16_realistic/logs/stage2_sim083_try1_13234178.out
84,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim084_try1_13234180.out
85,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_realistic/logs/stage2_sim085_try1_13234182.out
86,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim086_try1_13234184.out
87,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim087_try1_13234186.out
88,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim088_try1_13234188.out
89,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim089_try1_13234190.out
90,incomplete_late,scenario 3/4,True,Baseline+CGW done; timed out in scenario phases (2/4 completed),runs/2026-06-16_realistic/logs/stage2_sim090_try1_13234192.out
91,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim091_try1_13234194.out
92,incomplete_late,scenario 1/2,True,Baseline+CGW done; timed out in scenario phases (0/2 completed),runs/2026-06-16_realistic/logs/stage2_sim092_try1_13234196.out
93,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim093_try1_13234198.out
94,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim094_try1_13234200.out
95,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_realistic/logs/stage2_sim095_try1_13234202.out
96,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim096_try1_13234204.out
97,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim097_try1_13234206.out
98,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim098_try1_13234208.out
99,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_realistic/logs/stage2_sim099_try1_13234210.out
100,incomplete_late,scenario 2/3,True,Baseline+CGW done; timed out in scenario phases (1/3 completed),runs/2026-06-16_realistic/logs/stage2_sim100_try1_13234212.out
101,incomplete_early,"SNR shard selection (no convergence, no timeout)",False,Job stopped without finding population SNR; unclear why,runs/2026-06-16_realistic/logs/stage2_sim101_try1_13234214.out
102,incomplete_early,"SNR shard selection (no convergence, no timeout)",False,Job stopped without finding population SNR; unclear why,runs/2026-06-16_realistic/logs/stage2_sim102_try1_13234216.out
103,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_realistic/logs/stage2_sim103_try1_13234218.out
104,incomplete_late,scenario 3/4,True,Baseline+CGW done; timed out in scenario phases (2/4 completed),runs/2026-06-16_realistic/logs/stage2_sim104_try1_13234220.out
