sim_id,status,phase_reached,resumable,reason,log_file
371,incomplete_late,scenario 3/4,True,Baseline+CGW done; timed out in scenario phases (2/4 completed),runs/2026-06-17_optimistic/logs/stage2_sim371_try1_13250087.out
372,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim372_try1_13250089.out
373,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim373_try1_13250091.out
374,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-17_optimistic/logs/stage2_sim374_try1_13250093.out
375,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-17_optimistic/logs/stage2_sim375_try1_13250095.out
376,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim376_try1_13250097.out
377,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim377_try1_13250099.out
378,incomplete_late,scenario 1/2,True,Baseline+CGW done; timed out in scenario phases (0/2 completed),runs/2026-06-17_optimistic/logs/stage2_sim378_try1_13250101.out
379,incomplete_late,scenario 1/2,True,Baseline+CGW done; timed out in scenario phases (0/2 completed),runs/2026-06-17_optimistic/logs/stage2_sim379_try1_13250103.out
380,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim380_try1_13250105.out
381,incomplete_late,scenario 1/2,True,Baseline+CGW done; timed out in scenario phases (0/2 completed),runs/2026-06-17_optimistic/logs/stage2_sim381_try1_13250107.out
382,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-17_optimistic/logs/stage2_sim382_try1_13250109.out
383,incomplete_late,scenario 3/4,True,Baseline+CGW done; timed out in scenario phases (2/4 completed),runs/2026-06-17_optimistic/logs/stage2_sim383_try1_13250111.out
384,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim384_try1_13250113.out
385,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-17_optimistic/logs/stage2_sim385_try1_13250115.out
386,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim386_try1_13250117.out
387,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim387_try1_13250119.out
388,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim388_try1_13250121.out
389,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-17_optimistic/logs/stage2_sim389_try1_13250123.out
390,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-17_optimistic/logs/stage2_sim390_try1_13250125.out
391,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim391_try1_13250127.out
392,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-17_optimistic/logs/stage2_sim392_try1_13250129.out
