sim_id,status,phase_reached,resumable,reason,log_file
74,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim074_try1_13233041.out
75,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim075_try1_13233045.out
76,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim076_try1_13233049.out
77,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim077_try1_13233053.out
78,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim078_try1_13233057.out
79,incomplete_late,scenario 2/3,True,Baseline+CGW done; timed out in scenario phases (1/3 completed),runs/2026-06-16_pessimistic/logs/stage2_sim079_try1_13233061.out
80,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim080_try1_13233065.out
81,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim081_try1_13233069.out
82,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim082_try1_13233073.out
83,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim083_try1_13233077.out
84,incomplete_late,scenario 3/4,True,Baseline+CGW done; timed out in scenario phases (2/4 completed),runs/2026-06-16_pessimistic/logs/stage2_sim084_try1_13233081.out
85,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim085_try1_13233085.out
86,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim086_try1_13233089.out
87,incomplete_late,scenario 3/4,True,Baseline+CGW done; timed out in scenario phases (2/4 completed),runs/2026-06-16_pessimistic/logs/stage2_sim087_try1_13233093.out
88,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim088_try1_13233097.out
89,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim089_try1_13233101.out
90,incomplete_late,scenario 2/3,True,Baseline+CGW done; timed out in scenario phases (1/3 completed),runs/2026-06-16_pessimistic/logs/stage2_sim090_try1_13233105.out
91,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim091_try1_13233109.out
92,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim092_try1_13233113.out
93,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim093_try1_13233117.out
94,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim094_try1_13233121.out
95,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim095_try1_13233125.out
96,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim096_try1_13233129.out
97,incomplete_late,scenario 3/4,True,Baseline+CGW done; timed out in scenario phases (2/4 completed),runs/2026-06-16_pessimistic/logs/stage2_sim097_try1_13233133.out
98,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim098_try1_13233137.out
99,complete,all phases,False,Explicit Stage 2 completion marker found,runs/2026-06-16_pessimistic/logs/stage2_sim099_try1_13233141.out
100,incomplete_early,SNR shard selection (failed to converge),False,Timed out before finding population SNR in target band; no resumable state,runs/2026-06-16_pessimistic/logs/stage2_sim100_try1_13233145.out
101,incomplete_early,"SNR shard selection (no convergence, no timeout)",False,Job stopped without finding population SNR; unclear why,runs/2026-06-16_pessimistic/logs/stage2_sim101_try1_13233149.out
102,incomplete_early,"SNR shard selection (no convergence, no timeout)",False,Job stopped without finding population SNR; unclear why,runs/2026-06-16_pessimistic/logs/stage2_sim102_try1_13233153.out
103,incomplete_late,scenario 3/4,True,Baseline+CGW done; timed out in scenario phases (2/4 completed),runs/2026-06-16_pessimistic/logs/stage2_sim103_try1_13233157.out
